Date,Sales,Quantity Ordered
2019-10-12,124765.05,709
2019-10-13,122900.14,729
2019-10-14,128103.24,695
2019-10-15,107623.75,725
2019-10-16,114107.87,724
2019-10-17,130827.84,728
2019-10-18,119705.72,738
2019-10-19,117261.52,770
2019-10-20,129369.48,738
2019-10-21,114909.48,710
2019-10-22,134168.94,770
2019-10-23,118348.49,759
2019-10-24,109809.6,734
2019-10-25,123926.85,742
2019-10-26,126993.86,808
2019-10-27,119612.37,738
2019-10-28,126483.5,745
2019-10-29,133132.28,685
2019-10-30,98910.76,693
2019-10-31,130232.33,760
2019-11-01,107058.9,704
2019-11-02,125772.34,671
2019-11-03,89898.24,604
2019-11-04,103673.17,700
2019-11-05,105864.68000000001,643
2019-11-06,93916.89,644
2019-11-07,117692.05,699
2019-11-08,105236.88,710
2019-11-09,115754.83,667
2019-11-10,104955.4,636
2019-11-11,110945.82,622
2019-11-12,100467.22,652
2019-11-13,93579.46,684
2019-11-14,99578.47,642
2019-11-15,110547.06,600
2019-11-16,94234.47,647
2019-11-17,104077.54,671
2019-11-18,100369.25,673
2019-11-19,111336.53,688
2019-11-20,116783.61,628
2019-11-21,98591.99,718
2019-11-22,115879.28,662
2019-11-23,102594.45,623
2019-11-24,130244.5,700
2019-11-25,121062.75,650
2019-11-26,95920.67,671
2019-11-27,128022.25,688
2019-11-28,95941.37,594
2019-11-29,92666.45,645
2019-11-30,106936.68000000001,662
2019-12-01,148153.63,877
2019-12-02,149025.71,914
2019-12-03,142570.45,832
2019-12-04,166727.69,879
2019-12-05,155079.3,905
2019-12-06,151910.47,910
2019-12-07,139645.75,843
2019-12-08,143527.63,870
2019-12-09,147135.13,856
2019-12-10,162832.74,897
2019-12-11,146367.03,894
2019-12-12,144195.15,919
2019-12-13,153332.14,957
2019-12-14,141991.78,924
2019-12-15,143269.72,915
2019-12-16,162970.61,914
2019-12-17,157364.72,1044
2019-12-18,154598.77,870
2019-12-19,137732.67,942
2019-12-20,160181.3,912
2019-12-21,154756.87,875
2019-12-22,147348.09,874
2019-12-23,152214.45,988
2019-12-24,152888.82,908
2019-12-25,152268.42,902
2019-12-26,144912.02,925
2019-12-27,126628.05,869
2019-12-28,134015.5,931
2019-12-29,156024.62,954
2019-12-30,152319.81,928
2019-12-31,131454.3,886
2020-01-01,8670.29,41
